uniq_pair,layer_from,node_from,layer_to,node_to,length,pident,plasmid.length.query,plasmid.length.subject,edge_type,weight
L10N3077_L8N1329,8,1329,10,3077,2145,100,4044,4044,Inter,0.5304154302670623
L10N3077_L9N2489,10,3077,9,2489,4037,100,4044,4044,Inter,0.998269040553907
L10N3078_L11N3490,11,3490,10,3078,3590,99.972,3922,3969,Inter,0.9042566893424036
L10N3078_L8N1332,10,3078,8,1332,2621,99.771,3969,3969,Inter,0.6588556084656085
L10N3078_L9N2491,9,2491,10,3078,2555,100,3969,3969,Inter,0.6437389770723104
L10N3079_L9N2498,9,2498,10,3079,3692,99.973,3692,3923,Inter,0.9408623910272751
L10N3081_L11N3479,10,3081,11,3479,2948,99.457,3902,4153,Inter,0.9475061545870453
L10N3083_L11N3494,10,3083,11,3494,3671,100,3786,3786,Inter,0.9696249339672478
L10N3084_L11N3498,11,3498,10,3084,3294,99.97,3775,3775,Inter,0.8723210066225167
L10N3085_L8N1347,8,1347,10,3085,2669,100,3747,3747,Inter,0.7123031758740326
L10N3085_L9N2495,9,2495,10,3085,2305,100,3747,3747,Inter,0.615158793701628
L10N3086_L11N54,11,54,10,3086,2373,100,3928,3735,Inter,0.964867617107943
L10N3086_L17N5990,10,3086,17,5990,3735,100,3735,3928,Inter,0.9508655804480651
L10N3086_L8N54,10,3086,8,54,2373,100,3735,3928,Inter,0.6041242362525459
L10N3086_L9N54,10,3086,9,54,2373,100,3735,3928,Inter,0.6041242362525459
L10N3087_L11N3500,10,3087,11,3500,3727,100,3731,3726,Inter,0.9989279013669258
L10N3087_L8N1349,10,3087,8,1349,3602,100,3731,3731,Inter,0.9654248190833556
L10N3090_L18N6746,10,3090,18,6746,2389,99.121,3602,2385,Inter,0.6574127401443641
L10N3091_L11N3504,10,3091,11,3504,2932,100,3576,3616,Inter,0.8108407079646017
L10N3091_L8N1353,10,3091,8,1353,3416,100,3576,3616,Inter,0.9446902654867256
L10N3092_L7N1360,7,1360,10,3092,3079,99.675,3513,3573,Inter,0.8589401763224181
L10N3092_L8N1360,8,1360,10,3092,3079,99.675,3513,3573,Inter,0.8589401763224181
L10N3093_L8N1355,8,1355,10,3093,3235,99.042,3563,3561,Inter,0.8992446533819815
L10N3094_L11N3510,10,3094,11,3510,2600,99.962,3555,3555,Inter,0.7310863572433194
L10N3094_L8N1357,10,3094,8,1357,3068,99.967,3555,3555,Inter,0.8627250520393811
L10N3096_L8N1359,8,1359,10,3096,2538,100,3532,3532,Inter,0.7185730464326161
L10N3098_L11N3515,11,3515,10,3098,2546,100,3460,3460,Inter,0.7358381502890173
L10N3098_L12N3989,10,3098,12,3989,1813,99.614,3460,3410,Inter,0.5219658439306358
L10N3098_L9N2506,9,2506,10,3098,3176,100,3460,3460,Inter,0.9179190751445087
L10N3099_L11N3516,10,3099,11,3516,1970,99.492,3455,3453,Inter,0.5672915774240233
L10N3099_L12N3984,10,3099,12,3984,2628,99.467,3455,3463,Inter,0.7548347559919145
L10N3099_L9N2505,10,3099,9,2505,1970,99.492,3455,3463,Inter,0.5659810568870921
L10N3100_L8N1365,8,1365,10,3100,2172,100,3445,3445,Inter,0.6304789550072569
L10N3100_L9N2507,10,3100,9,2507,3041,100,3445,3445,Inter,0.8827285921625544
L10N3101_L11N3519,10,3101,11,3519,2443,99.877,3419,3396,Inter,0.7136575343667739
L10N3101_L8N1369,8,1369,10,3101,3173,99.937,3396,3419,Inter,0.9274644662181925
L10N3101_L9N2511,9,2511,10,3101,2146,99.907,3396,3419,Inter,0.6270851769523252
L10N3102_L8N1367,8,1367,10,3102,1933,100,3414,3414,Inter,0.5661980082015231
L10N3105_L11N3518,11,3518,10,3105,2447,100,3408,3408,Inter,0.7180164319248826
L10N3105_L9N2510,9,2510,10,3105,2879,100,3408,3408,Inter,0.8447769953051644
L10N3106_L11N3521,10,3106,11,3521,3369,100,3380,3376,Inter,0.9967455621301775
L10N3106_L8N1371,8,1371,10,3106,3368,100,3377,3380,Inter,0.9964497041420118
L10N3106_L9N2514,9,2514,10,3106,3013,100,3377,3380,Inter,0.8914201183431952
L10N3107_L11N2516,10,3107,11,2516,1997,99.199,3370,3370,Inter,0.5878350237388723
L10N3107_L9N2516,10,3107,9,2516,1997,99.199,3370,3370,Inter,0.5878350237388723
L10N3109_L8N1374,8,1374,10,3109,2365,100,3354,3354,Inter,0.7051282051282052
L10N3109_L9N2517,9,2517,10,3109,2474,100,3354,3354,Inter,0.7376267143709004
L10N3110_L8N1375,8,1375,10,3110,2033,100,3352,3352,Inter,0.6065035799522673
L10N3111_L8N1377,8,1377,10,3111,1939,99.845,3346,3346,Inter,0.5785996861924686
L10N3111_L9N2518,9,2518,10,3111,1796,99.944,3346,3346,Inter,0.5364597250448296
L10N3113_L11N3523,10,3113,11,3523,2045,100,3320,3320,Inter,0.6159638554216867
L10N3113_L8N1378,8,1378,10,3113,1885,100,3320,3320,Inter,0.5677710843373494
L10N3113_L9N2519,9,2519,10,3113,3153,100,3320,3320,Inter,0.9496987951807229
L10N3114_L9N2536,9,2536,10,3114,2040,100,3042,3308,Inter,0.6166868198307134
L10N3115_L11N3524,10,3115,11,3524,1991,100,3308,3308,Inter,0.6018742442563483
L10N3115_L8N1381,10,3115,8,1381,2046,100,3308,3308,Inter,0.6185006045949214
L10N3116_L11N3509,11,3509,10,3116,2535,100,3558,3241,Inter,0.7124789207419899
L10N3116_L9N2525,9,2525,10,3116,2701,100,3241,3241,Inter,0.8333847577908053
L10N3117_L11N3529,10,3117,11,3529,2710,99.483,3239,3239,Inter,0.8323523618400741
L10N3117_L8N1388,8,1388,10,3117,2710,99.742,3239,3239,Inter,0.8345193578264897
L10N3117_L9N2531,9,2531,10,3117,2335,99.101,3185,3239,Inter,0.7144206082124113
L10N3119_L11N1395,10,3119,11,1395,2966,100,3185,3185,Inter,0.9312401883830456
L10N3119_L11N2532,11,2532,10,3119,2144,100,3185,3185,Inter,0.6731554160125589
L10N3119_L11N3530,10,3119,11,3530,1654,100,3185,3185,Inter,0.519309262166405
L10N3119_L8N1395,10,3119,8,1395,2966,100,3185,3185,Inter,0.9312401883830456
L10N3119_L9N2532,9,2532,10,3119,2144,100,3185,3185,Inter,0.6731554160125589
L10N3122_L11N1412,11,1412,10,3122,3057,100,3057,3160,Inter,0.9674050632911393
L10N3122_L11N1434,11,1434,10,3122,879,100,2877,3160,Inter,0.2781645569620253
L10N3122_L8N1412,8,1412,10,3122,3057,100,3057,3160,Inter,0.9674050632911393
L10N3122_L8N1434,8,1434,10,3122,879,100,2877,3160,Inter,0.2781645569620253
L10N3122_L9N1412,9,1412,10,3122,3057,100,3057,3160,Inter,0.9674050632911393
L10N3122_L9N1434,9,1434,10,3122,879,100,2877,3160,Inter,0.2781645569620253
L10N3126_L21N7596,10,3126,21,7596,2041,99.951,3105,3105,Inter,0.6570048019323671
L10N3127_L7N1048,7,1048,10,3127,1676,99.94,2861,3085,Inter,0.5429479416531604
L10N3128_L11N3538,10,3128,11,3538,2595,100,3068,3068,Inter,0.8458279009126467
L10N3128_L8N1411,8,1411,10,3128,2923,100,3068,3068,Inter,0.9527379400260756
L10N3128_L9N2537,9,2537,10,3128,1914,100,3022,3068,Inter,0.6238591916558018
L10N3129_L11N1044,10,3129,11,1044,2695,100,3064,3064,Inter,0.8795691906005222
L10N3129_L21N7585,21,7585,10,3129,1374,89.592,3348,3064,Inter,0.3676804301075268
L10N3129_L4N291,10,3129,4,291,850,94.353,3064,2977,Inter,0.26174951044386424
L10N3129_L6N691,10,3129,6,691,921,94.68,3064,2977,Inter,0.28459621409921676
L10N3129_L7N1044,10,3129,7,1044,2695,100,3064,3064,Inter,0.8795691906005222
L10N3129_L8N1044,10,3129,8,1044,2695,100,3064,3064,Inter,0.8795691906005222
L10N3129_L9N1044,10,3129,9,1044,2695,100,3064,3064,Inter,0.8795691906005222
L10N3130_L11N3539,10,3130,11,3539,1780,100,3064,3064,Inter,0.5809399477806788
L10N3131_L8N1419,10,3131,8,1419,2896,99.896,3022,3022,Inter,0.9573091197882198
L10N3132_L11N3545,10,3132,11,3545,2956,99.966,3009,3009,Inter,0.9820521635094717
L10N3132_L18N6718,10,3132,18,6718,2156,99.861,3009,3009,Inter,0.7155211565304087
L10N3132_L8N1422,8,1422,10,3132,3007,99.967,3009,3009,Inter,0.9990055466932535
L10N3132_L9N2529,10,3132,9,2529,2281,99.956,3009,3200,Inter,0.7124988624999999
L10N3134_L11N3620,10,3134,11,3620,632,95.095,2965,2202,Inter,0.20269827993254638
L10N3134_L8N1410,8,1410,10,3134,1621,97.903,3072,2965,Inter,0.5166040462239584
L10N3134_L8N1466,8,1466,10,3134,1621,97.903,2682,2965,Inter,0.5352470927487353
L10N3135_L11N3548,10,3135,11,3548,2152,100,2965,2965,Inter,0.7258010118043845
L10N3135_L8N1426,8,1426,10,3135,2763,100,2965,2965,Inter,0.9318718381112985
L10N3135_L9N2540,10,3135,9,2540,2461,100,2965,2965,Inter,0.8300168634064081
L10N3136_L8N2543,10,3136,8,2543,1755,100,2957,2957,Inter,0.5935069327020629
L10N3136_L9N2543,10,3136,9,2543,1755,100,2957,2957,Inter,0.5935069327020629
L10N3137_L9N2544,9,2544,10,3137,2948,100,2953,2953,Inter,0.998306806637318
L10N3138_L11N3584,10,3138,11,3584,2582,99.923,2944,2582,Inter,0.8763627241847827
L10N3138_L8N2553,8,2553,10,3138,2692,99.443,2877,2944,Inter,0.9093089538043477
L10N3138_L9N2553,9,2553,10,3138,2692,99.443,2877,2944,Inter,0.9093089538043477
L10N3139_L11N3551,11,3551,10,3139,1564,100,2938,2938,Inter,0.5323349217154527
L10N3139_L8N1427,10,3139,8,1427,2212,100,2938,2938,Inter,0.7528931245745405
L10N3139_L9N2546,10,3139,9,2546,1828,99.945,2938,2938,Inter,0.6218497617426821
L10N3140_L11N1046,10,3140,11,1046,1561,100,2938,2938,Inter,0.5313138189244384
L10N3140_L11N1428,11,1428,10,3140,1993,100,2938,2938,Inter,0.678352620830497
L10N3140_L11N2545,10,3140,11,2545,2347,100,2938,2938,Inter,0.7988427501701838
L10N3140_L18N6719,18,6719,10,3140,1945,100,2938,2938,Inter,0.6620149761742682
L10N3140_L7N1046,10,3140,7,1046,1561,100,2938,2938,Inter,0.5313138189244384
L10N3140_L8N1428,8,1428,10,3140,1993,100,2938,2938,Inter,0.678352620830497
L10N3140_L9N2545,10,3140,9,2545,2347,100,2938,2938,Inter,0.7988427501701838
L10N3141_L11N3552,11,3552,10,3141,2049,100,2935,2935,Inter,0.6981260647359455
L10N3141_L7N1047,7,1047,10,3141,1830,100,2935,2935,Inter,0.6235093696763203
L10N3141_L8N1429,10,3141,8,1429,2661,100,2935,2935,Inter,0.9066439522998296
L10N3141_L9N2547,9,2547,10,3141,1661,100,2935,2935,Inter,0.5659284497444633
L10N3143_L11N3565,10,3143,11,3565,2653,99.962,2928,2766,Inter,0.905734924863388
L10N3143_L8N1425,10,3143,8,1425,2928,99.966,2928,2977,Inter,0.9832060732280818
L10N3144_L8N1440,8,1440,10,3144,2113,100,2861,2861,Inter,0.7385529535127577
L10N3145_L8N1444,8,1444,10,3145,1566,100,2846,2846,Inter,0.55024595924104
L10N3146_L11N3556,11,3556,10,3146,2864,99.686,2864,2836,Inter,0.9968600000000001
L10N3146_L12N4024,12,4024,10,3146,2900,99.655,2900,2836,Inter,0.99655
L10N3146_L8N1432,8,1432,10,3146,2900,99.69,2900,2836,Inter,0.9969
L10N3146_L9N2552,9,2552,10,3146,2900,99.69,2900,2836,Inter,0.9969
L10N3147_L11N3559,11,3559,10,3147,2835,100,2852,2834,Inter,0.9940392706872371
L10N3147_L8N1447,8,1447,10,3147,2835,100,2843,2834,Inter,0.997186071051706
L10N3147_L8N3559,8,3559,10,3147,2835,100,2852,2834,Inter,0.9940392706872371
L10N3147_L9N2557,9,2557,10,3147,2834,100,2843,2834,Inter,0.9968343299331692
L10N3149_L11N3566,10,3149,11,3566,2151,100,2756,2756,Inter,0.780478955007257
L10N3150_L11N3568,10,3150,11,3568,2561,100,2751,2751,Inter,0.930934205743366
L10N3150_L16N2564,10,3150,16,2564,2008,100,2751,2751,Inter,0.7299163940385315
L10N3150_L16N5293,16,5293,10,3150,1592,99.121,2752,2751,Inter,0.5734034593023256
L10N3150_L18N6722,10,3150,18,6722,1293,97.216,2751,2747,Inter,0.4569258015267175
L10N3150_L9N2564,10,3150,9,2564,2008,100,2751,2751,Inter,0.7299163940385315
L10N3152_L8N1441,8,1441,10,3152,1338,92.9,2853,2738,Inter,0.43568243953732916
L10N3153_L10N3156,10,3153,10,3156,1026,99.903,2730,2693,Intra,0.3754596263736264
L10N3153_L8N1498,10,3153,8,1498,2514,99.602,2730,2513,Inter,0.9172140219780219
L10N3153_L9N1498,10,3153,9,1498,2514,99.602,2730,2513,Inter,0.9172140219780219
L10N3156_L8N1498,8,1498,10,3156,809,98.888,2513,2693,Inter,0.29706792424805056
L10N3156_L9N1498,9,1498,10,3156,809,98.888,2513,2693,Inter,0.29706792424805056
L10N3158_L11N3579,11,3579,10,3158,2440,100,2662,2662,Inter,0.9166040570999249
L10N3158_L21N7620,21,7620,10,3158,2459,100,2662,2662,Inter,0.9237415477084898
L10N3158_L5N392,5,392,10,3158,2393,100,2662,2662,Inter,0.8989481592787378
L10N3158_L7N1049,7,1049,10,3158,1502,100,2662,2662,Inter,0.564237415477085
L10N3158_L8N1469,10,3158,8,1469,1640,100,2662,2662,Inter,0.6160781367392938
L10N3158_L9N2570,9,2570,10,3158,2482,100,2662,2662,Inter,0.932381667918858
L10N3160_L11N3580,10,3160,11,3580,1531,100,2625,2625,Inter,0.5832380952380952
L10N3161_L8N1478,10,3161,8,1478,2033,100,2621,2621,Inter,0.7756581457458985
L10N3163_L11N3581,11,3581,10,3163,2344,98.251,2616,2596,Inter,0.8803529969418961
L10N3163_L21N7634,21,7634,10,3163,1692,97.931,2537,2596,Inter,0.6382867950693375
L10N3163_L8N1485,10,3163,8,1485,2268,99.691,2596,2593,Inter,0.8709521879815101
L10N3163_L9N2574,10,3163,9,2574,2264,99.47,2596,2593,Inter,0.86748875192604
L10N3164_L11N3583,10,3164,11,3583,1969,99.949,2583,2583,Inter,0.761903139759969
L10N3164_L8N1487,10,3164,8,1487,1449,100,2583,2583,Inter,0.5609756097560976
L10N3164_L9N2576,9,2576,10,3164,2008,100,2583,2583,Inter,0.7773906310491676
L10N3165_L12N197,12,197,10,3165,2572,99.883,5167,2570,Inter,0.49719194116508614
L10N3165_L13N4593,13,4593,10,3165,1861,100,2570,2570,Inter,0.724124513618677
L10N3165_L16N197,16,197,10,3165,2572,99.883,5167,2570,Inter,0.49719194116508614
L10N3165_L3N197,3,197,10,3165,2572,99.883,5167,2570,Inter,0.49719194116508614
L10N3165_L9N2562,9,2562,10,3165,2215,99.955,2775,2570,Inter,0.797839009009009
L10N3167_L22N8161,22,8161,10,3167,1384,99.35,2495,2558,Inter,0.5375308835027365
L10N3169_L16N5317,10,3169,16,5317,2415,99.834,2542,2542,Inter,0.9484622738001574
L10N3169_L8N1493,8,1493,10,3169,2542,99.685,2542,2542,Inter,0.99685
L10N3170_L11N3587,10,3170,11,3587,1949,99.641,2521,2521,Inter,0.7703304601348672
L10N3170_L8N1495,8,1495,10,3170,2072,99.952,2521,2521,Inter,0.8215015628718761
L10N3171_L11N3588,10,3171,11,3588,1839,100,2508,2508,Inter,0.7332535885167464
L10N3172_L8N1499,8,1499,10,3172,1326,100,2507,2507,Inter,0.5289190267251695
L10N3172_L9N2584,9,2584,10,3172,2474,100,2474,2507,Inter,0.9868368568009573
L10N3173_L11N3591,10,3173,11,3591,1334,99.85,2465,2465,Inter,0.5403647058823529
L10N3173_L8N1505,10,3173,8,1505,2232,99.866,2465,2465,Inter,0.9042633346855984
L10N3174_L11N3595,10,3174,11,3595,2443,100,2455,2455,Inter,0.9951120162932791
L10N3174_L13N4585,10,3174,13,4585,1259,99.047,2455,2611,Inter,0.47759545384909996
L10N3174_L16N5325,10,3174,16,5325,1767,99.774,2455,2455,Inter,0.7181289531568228
L10N3177_L11N3598,10,3177,11,3598,1904,100,2411,2411,Inter,0.7897138116963915
L10N3179_L11N3602,10,3179,11,3602,1296,99.537,2399,2398,Inter,0.5377238516048354
L10N3180_L11N3604,10,3180,11,3604,2158,99.954,2397,2397,Inter,0.8998778973717146
L10N3180_L12N4102,10,3180,12,4102,2397,99.875,2397,2340,Inter,0.99875
L10N3180_L13N4609,10,3180,13,4609,1775,99.944,2397,2397,Inter,0.7400942845223195
L10N3180_L16N5331,10,3180,16,5331,1796,99.889,2397,2397,Inter,0.7484382311222361
L10N3180_L18N6743,18,6743,10,3180,1791,100,2397,2397,Inter,0.7471839799749687
L10N3180_L8N1522,8,1522,10,3180,2001,100,2397,2397,Inter,0.8347934918648311
L10N3180_L9N2592,10,3180,9,2592,2334,100,2397,2397,Inter,0.9737171464330413
L10N3181_L11N3605,10,3181,11,3605,1524,100,2384,2384,Inter,0.639261744966443
L10N3181_L18N6747,10,3181,18,6747,2175,100,2384,2384,Inter,0.9123322147651006
L10N3181_L5N402,10,3181,5,402,1968,99.797,2384,2384,Inter,0.8238275838926175
L10N3181_L7N1052,10,3181,7,1052,1857,99.838,2384,2384,Inter,0.7776810654362416
L10N3181_L8N1526,8,1526,10,3181,2275,100,2384,2384,Inter,0.9542785234899329
L10N3181_L9N2594,10,3181,9,2594,1968,99.797,2384,2384,Inter,0.8238275838926175
L10N3182_L8N1519,10,3182,8,1519,1583,99.874,2378,2406,Inter,0.6571094846217789
L10N3183_L9N2595,9,2595,10,3183,2373,100,2381,2373,Inter,0.996640067198656
L10N3184_L11N3609,10,3184,11,3609,2263,99.956,2347,2347,Inter,0.9637853770771198
L10N3184_L8N1535,8,1535,10,3184,1551,99.936,2347,2347,Inter,0.6604206902428632
L10N3184_L9N2600,9,2600,10,3184,1696,99.941,2347,2347,Inter,0.7221982786536004
L10N3189_L9N2608,9,2608,10,3189,2036,100,2295,2295,Inter,0.8871459694989107
L10N3191_L11N3614,11,3614,10,3191,2181,99.679,2283,2283,Inter,0.9522553613666229
L10N3191_L22N8178,22,8178,10,3191,2124,99.718,2281,2283,Inter,0.9277311957950066
L10N3191_L5N412,5,412,10,3191,1783,99.72,2283,2283,Inter,0.7788031537450723
L10N3191_L7N1055,10,3191,7,1055,2278,99.781,2283,2283,Inter,0.9956246955759966
L10N3192_L8N1557,10,3192,8,1557,1846,99.567,2229,2213,Inter,0.8245880753701211
L10N3195_L11N3624,11,3624,10,3195,1139,99.737,2182,2182,Inter,0.5206253116406966
L10N3195_L7N1060,7,1060,10,3195,1173,99.744,2182,2182,Inter,0.5362039963336389
L10N3196_L11N3627,11,3627,10,3196,1992,100,2161,2161,Inter,0.9217954650624711
L10N3196_L8N1572,8,1572,10,3196,1580,100,2161,2161,Inter,0.7311429893567792
L10N3196_L9N2622,9,2622,10,3196,1324,100,2161,2161,Inter,0.6126793151318833
L10N3197_L11N3629,10,3197,11,3629,1560,99.936,2160,2147,Inter,0.72176
L10N3197_L12N4130,10,3197,12,4130,1655,99.879,2160,2183,Inter,0.7572136738433349
L10N3197_L16N5370,16,5370,10,3197,1617,99.938,2122,2160,Inter,0.7481469722222223
L10N3197_L18N6706,10,3197,18,6706,1655,99.758,2160,4038,Inter,0.4088645121347201
L10N3197_L20N7289,10,3197,20,7289,1487,100,2160,2030,Inter,0.967129175925926
L10N3197_L21N7662,10,3197,21,7662,1655,99.819,2160,2328,Inter,0.7096239046391754
L10N3197_L22N8187,10,3197,22,8187,1488,100,2160,2160,Inter,0.6888888888888889
L10N3197_L5N407,10,3197,5,407,1655,99.94,2160,2328,Inter,0.7104841065292096
L10N3197_L9N2623,9,2623,10,3197,2104,99.952,2160,2160,Inter,0.9736065185185185
L10N3198_L11N2624,11,2624,10,3198,1427,100,2157,2157,Inter,0.6615669911914697
L10N3198_L11N3628,10,3198,11,3628,2101,100,2157,2157,Inter,0.9740380157626333
L10N3198_L11N4135,10,3198,11,4135,1875,100,2157,2157,Inter,0.8692628650904033
L10N3198_L12N4135,10,3198,12,4135,1875,100,2157,2157,Inter,0.8692628650904033
L10N3198_L15N5090,10,3198,15,5090,2157,98.702,2157,2075,Inter,0.98702
L10N3198_L21N7680,10,3198,21,7680,1685,100,2157,2157,Inter,0.7811775614279092
L10N3198_L5N420,10,3198,5,420,1187,97.136,2157,2154,Inter,0.5345407139545665
L10N3198_L8N1574,10,3198,8,1574,1804,97.062,2157,2154,Inter,0.811774909596662
L10N3198_L9N2624,9,2624,10,3198,1427,100,2157,2157,Inter,0.6615669911914697
L10N3199_L9N2630,9,2630,10,3199,1510,100,2123,2123,Inter,0.7112576542628356
L10N3201_L11N63,10,3201,11,63,2073,100,2122,2121,Inter,0.9769085768143261
L10N3201_L8N63,10,3201,8,63,2073,100,2122,2121,Inter,0.9769085768143261
L10N3202_L8N1581,8,1581,10,3202,1085,99.908,2121,2121,Inter,0.5110805280528052
L10N3202_L8N2626,8,2626,10,3202,1119,99.911,2148,2121,Inter,0.5204860754189944
L10N3202_L9N2626,9,2626,10,3202,1119,99.911,2148,2121,Inter,0.5204860754189944
